id,rate
E06000031,0.6089
E06000032,0.5655
E06000033,0.5808
E06000034,0.7228
E06000055,0.5178
E06000056,0.5613
E07000008,0.2615
E07000009,0.5092
E07000010,0.7139
E07000011,0.5424
E07000012,0.3977
E07000066,0.6862
E07000067,0.6113
E07000068,0.5915
E07000069,0.727
E07000070,0.5283
E07000071,0.536
E07000072,0.6269
E07000073,0.681
E07000074,0.6258
E07000075,0.6661
E07000076,0.695
E07000077,0.5068
E07000095,0.6626
E07000096,0.5067
E07000098,0.5084
E07000099,0.4563
E07000102,0.5127
E07000103,0.5027
E07000143,0.6422
E07000144,0.5437
E07000145,0.715
E07000146,0.664
E07000147,0.5891
E07000148,0.4376
E07000149,0.5169
E07000200,0.5419
E07000201,0.6497
E07000202,0.5826
E07000203,0.5523
E07000204,0.5662
E07000205,0.53
E07000206,0.629
E07000240,0.3729
E07000241,0.5299
E07000242,0.5036
E07000243,0.5925
E06000015,0.5722
E06000016,0.4892
E06000017,0.5057
E06000018,0.5084
E07000032,0.6028
E07000033,0.7083
E07000034,0.6004
E07000035,0.5156
E07000036,0.6123
E07000037,0.5055
E07000038,0.6278
E07000039,0.6035
E07000129,0.5947
E07000130,0.5381
E07000131,0.5075
E07000132,0.6033
E07000133,0.5811
E07000134,0.607
E07000135,0.5458
E07000136,0.7556
E07000137,0.7065
E07000138,0.5694
E07000139,0.6226
E07000140,0.7359
E07000141,0.5993
E07000142,0.6182
E07000150,0.6425
E07000151,0.586
E07000152,0.5876
E07000153,0.6099
E07000154,0.5838
E07000155,0.5434
E07000156,0.6242
E07000170,0.6984
E07000171,0.6783
E07000172,0.5465
E07000173,0.5555
E07000174,0.7086
E07000175,0.6039
E07000176,0.4245
E09000001,0.2471
E09000002,0.6244
E09000003,0.3777
E09000004,0.6295
E09000005,0.4026
E09000006,0.4935
E09000007,0.2506
E09000008,0.4571
E09000009,0.396
E09000010,0.4418
E09000011,0.4441
E09000012,0.2152
E09000013,0.2998
E09000014,0.2443
E09000015,0.4537
E09000016,0.6966
E09000017,0.5637
E09000018,0.4894
E09000019,0.2478
E09000020,0.3131
E09000021,0.3839
E09000022,0.2138
E09000023,0.3014
E09000024,0.3706
E09000025,0.4716
E09000026,0.4603
E09000027,0.3071
E09000028,0.2719
E09000029,0.5372
E09000030,0.3254
E09000031,0.409
E09000032,0.2497
E09000033,0.3103
E06000001,0.6957
E06000002,0.6548
E06000003,0.6619
E06000004,0.6173
E06000005,0.5618
E06000047,0.5755
E06000057,0.5411
E08000021,0.493
E08000022,0.534
E08000023,0.6205
E08000024,0.6134
E08000037,0.5685
E06000006,0.5742
E06000007,0.5427
E06000008,0.5634
E06000009,0.6746
E06000049,0.5118
E06000050,0.5068
E07000026,0.5865
E07000027,0.6062
E07000028,0.6014
E07000029,0.62
E07000030,0.5332
E07000031,0.4714
E07000117,0.6661
E07000118,0.5683
E07000119,0.5696
E07000120,0.6619
E07000121,0.5108
E07000122,0.6315
E07000123,0.5331
E07000124,0.5639
E07000125,0.6068
E07000126,0.5856
E07000127,0.5531
E07000128,0.6377
E08000001,0.5829
E08000002,0.5412
E08000003,0.3964
E08000004,0.6086
E08000005,0.6007
E08000006,0.5681
E08000007,0.4767
E08000008,0.6114
E08000009,0.4231
E08000010,0.639
E08000011,0.5156
E08000012,0.4181
E08000013,0.5802
E08000014,0.4813
E08000015,0.483
N92000002,0.4422
S12000005,0.4222
S12000006,0.4694
S12000008,0.414
S12000010,0.354
S12000011,0.2568
S12000013,0.4476
S12000014,0.4324
S12000015,0.4141
S12000017,0.4405
S12000018,0.362
S12000019,0.3794
S12000020,0.4987
S12000021,0.4312
S12000023,0.3684
S12000024,0.3891
S12000026,0.4153
S12000027,0.4349
S12000028,0.4104
S12000029,0.3692
S12000030,0.3228
S12000033,0.389
S12000034,0.4499
S12000035,0.3943
S12000036,0.2556
S12000038,0.3519
S12000039,0.3801
S12000040,0.4175
S12000041,0.4474
S12000042,0.4022
S12000044,0.3834
S12000045,0.286
S12000046,0.3341
E06000035,0.6408
E06000036,0.5394
E06000037,0.4822
E06000038,0.4197
E06000039,0.5433
E06000040,0.461
E06000041,0.4331
E06000042,0.5141
E06000043,0.3138
E06000044,0.5808
E06000045,0.538
E06000046,0.6195
E07000004,0.505
E07000005,0.4498
E07000006,0.507
E07000007,0.4803
E07000061,0.5733
E07000062,0.5488
E07000063,0.4793
E07000064,0.5853
E07000065,0.545
E07000084,0.519
E07000085,0.4948
E07000086,0.5245
E07000087,0.551
E07000088,0.6386
E07000089,0.476
E07000090,0.6236
E07000091,0.5776
E07000092,0.5821
E07000093,0.5194
E07000094,0.4107
E07000105,0.5943
E07000106,0.5104
E07000107,0.6422
E07000108,0.6215
E07000109,0.6538
E07000110,0.5875
E07000111,0.5438
E07000112,0.6225
E07000113,0.6246
E07000114,0.6385
E07000115,0.557
E07000116,0.4511
E07000177,0.5031
E07000178,0.2973
E07000179,0.4502
E07000180,0.433
E07000181,0.4634
E07000207,0.4047
E07000208,0.4792
E07000209,0.4383
E07000210,0.4692
E07000211,0.5049
E07000212,0.5426
E07000213,0.603
E07000214,0.5098
E07000215,0.5284
E07000216,0.4161
E07000217,0.4385
E07000223,0.5457
E07000224,0.6248
E07000225,0.5092
