date,calories_burned,steps,distance,floors,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories,workout
01/01/2017,"2,629","12,167",9.25,0,647,199,28,29,"1,238",none
02/01/2017,"2,513","10,873",8.21,0,561,141,25,40,"1,058",none
03/01/2017,"2,467","7,170",5.41,0,792,146,7,33,987,crossfit
04/01/2017,"2,346","7,677",5.99,0,800,181,5,5,869,none
05/01/2017,"2,577","8,721",6.58,0,773,148,19,46,"1,124",crossfit
06/01/2017,"2,264","6,574",5.15,0,858,159,4,5,757,none
07/01/2017,"2,591","7,392",5.58,0,669,183,19,35,"1,165",crossfit
08/01/2017,"2,992","17,573",13.43,0,537,148,54,90,"1,628",none
09/01/2017,"2,609","10,775",8.23,0,698,207,17,29,"1,194",none
10/01/2017,"2,260","6,502",4.91,0,886,169,0,0,755,none
11/01/2017,"2,734","10,521",7.94,0,718,227,3,37,"1,349",crossfit
12/01/2017,"2,594","8,550",6.65,0,778,186,2,36,"1,160",crossfit
13/01/2017,"2,390","8,834",6.81,0,888,160,9,11,899,none
14/01/2017,"2,612","10,984",8.29,0,704,265,13,8,"1,247",none
15/01/2017,"2,485","9,643",7.28,0,617,201,32,8,"1,071",none
16/01/2017,"2,317","7,479",5.7,0,866,161,6,13,830,none
17/01/2017,"2,063",934,0.71,0,914,52,0,30,462,crossfit
18/01/2017,"2,307","7,241",5.56,0,814,162,7,11,819,none
19/01/2017,"2,385","7,875",5.99,0,794,214,0,0,939,none
20/01/2017,"2,237","6,333",4.88,0,886,153,5,3,728,none
21/01/2017,"2,996","17,472",13.19,0,645,206,63,53,"1,678",none
22/01/2017,"2,916","16,254",13.28,0,635,93,38,96,"1,466",crossfit
23/01/2017,"2,254","6,704",5.26,0,826,143,7,10,739,none
24/01/2017,"2,557","8,616",6.65,0,771,146,19,40,"1,106",crossfit
25/01/2017,"2,230","6,530",5.03,0,842,144,10,4,725,none
26/01/2017,"2,642","9,429",7.16,0,754,173,28,45,"1,243",crossfit
27/01/2017,"2,174","5,870",4.43,0,897,146,0,0,658,none
28/01/2017,"2,215","5,865",4.53,0,942,40,0,0,138,none
