name,appearances,formed
"10,000 Maniacs",5,1981
"10cc",8,1972
"808 State",7,1987
"ABBA",5,1970
"ABC",6,1980
"AC/DC",14,1973
"Adam And The Ants",9,1977
"Air",9,1995
"Al Green",9,1967
"Alice Cooper",15,1963
"Amy Winehouse",7,2003
"Arcade Fire",12,2001
"Arctic Monkeys",20,2002
"Aretha Franklin",10,1956
"Ash",9,1992
"Aztec Camera",10,1980
"Badly Drawn Boy",8,1995
"Bat For Lashes",5,2006
"Be Bop Deluxe",7,1972
"Beck",11,1985
"Belle and Sebastian",20,1996
"Beth Orton",5,1993
"Billy Bragg",18,1977
"Bjork",12,1987
"Black Grape",5,1993
"Black Sabbath",8,1968
"Black Uhuru",5,1972
"Blondie",20,1974
"Blur",28,1988
"Bob Dylan",35,1959
"Bob Marley",18,1974
"Bob Marley & The Wailers",12,1962
"Brian Eno",17,1970
"British Sea Power",12,2000
"Bruce Springsteen",24,1964
"Bryan Ferry",6,1970
"Buddy Holly",6,1955
"Buzzcocks",19,1976
"Camera Obscura",5,1996
"Captain Beefheart",10,1964
"Captain Beefheart & His Magic Band",15,1964
"Chairmen Of The Board",5,1967
"Chic",8,1976
"Chuck Berry",12,1955
"Cocteau Twins",14,1979
"Cream",14,1966
"Creedence Clearwater Revival",12,1967
"Crowded House",5,1985
"Daft Punk",7,1993
"David Bowie",61,1962
"De La Soul",7,1987
"Deep Purple",8,1968
"Depeche Mode",11,1980
"Devo",10,1973
"Dexys Midnight Runners",10,1978
"Donovan",7,1964
"Doves",14,1998
"Dr Feelgood",12,1971
"Duran Duran",5,1978
"Dusty Springfield",12,1958
"Echo & The Bunnymen",22,1978
"Eddie Cochran",6,1952
"Eels",6,1995
"Elastica",6,1992
"Elbow",19,1997
"Elliott Smith",5,1991
"ELO",5,1970
"Elvis Costello",32,1970
"Elvis Costello & The Attractions",9,1970
"Elvis Presley",27,1953
"Emmylou Harris",5,1969
"Everything Everything",7,2007
"Fatboy Slim",7,1996
"Felt",5,1979
"First Aid Kit",5,2007
"Fleet Foxes",15,2006
"Fleetwood Mac",17,1967
"Florence & The Machine",5,2007
"Focus",5,1969
"Frank Zappa",7,1955
"Franz Ferdinand",10,2002
"Free",5,1968
"Friendly Fires",6,2006
"Gang Of Four",5,1977
"Garbage",6,1993
"Generation X",5,1976
"Genesis",8,1967
"George Harrison",6,1968
"Goldfrapp",11,1999
"Gorillaz",7,1998
"Grace Jones",7,1973
"Gram Parsons",5,1963
"Grandaddy",8,1992
"Guns N Roses",5,1985
"Half Man Half Biscuit",7,1984
"Happy Mondays",14,1980
"Hawkwind",7,1969
"Heaven 17",11,1980
"Hot Chip",6,2000
"Ian Dury & The Blockheads",5,1971
"Iggy Pop",11,1960
"Inspiral Carpets",7,1983
"Iron Maiden",6,1975
"James",16,1982
"James Brown",12,1953
"Japan",7,1974
"Jeff Buckley",9,1991
"Jethro Tull",8,1967
"Jimi Hendrix",18,1963
"John Barry",5,1959
"John Grant",5,2010
"John Lennon",11,1970
"John Martyn",11,1967
"Johnny Cash",17,1954
"Jonathan Richman",6,1970
"Jonathan Richman & The Modern Lovers",9,1970
"Joni Mitchell",22,1964
"Joy Division",15,1976
"Julian Cope",11,1978
"Kaiser Chiefs",9,2000
"Kasabian",6,1997
"Kate Bush",37,1975
"Kings Of Leon",10,2000
"Kirsty MacColl",11,1979
"KLF",5,1987
"Kraftwerk",17,1970
