year,rider,dot,sex,race,event,finish
1987,Robert Millar,gs,m,Giro d'Italia,Stage 21,Pila
1987,Robert Millar,dj,m,Giro d'Italia,King of the mountains,Italy
1988,Sean Yates,ts,m,Tour de France,Stage 6,Wasquehal
1988,Sean Yates,vs,m,Vuelta a Espana,Stage 12,Jaca
1988,Malcom Elliott,vs,m,Vuelta a Espana,Stage 17,Toledo
1989,Robert Millar,ts,m,Tour de France,Stage 10,Superbagnères
1989,Malcom Elliott,vs,m,Vuelta a Espana,Stage 3b,Orense
1989,Malcom Elliott,vs,m,Vuelta a Espana,Stage 11,Lleida
1989,Malcom Elliott,gj,m,Vuelta a Espana,Points competition,Spain
1992,Chris Boardman,gm,m,Olympics,Individual pursuit,Barcelona
1993,Chris Boardman,hr,m,Hour Record,Record attempt,Velodrome du Lac
1993,Graeme Obree,hr,m,Hour Record,Record attempt,Vikingskipet
1993,Graeme Obree,rt,m,World Championships,Individual pursuit,Hamar
1994,Chris Boardman,ts,m,Tour de France,Prologue,Lille
1994,Graeme Obree,hr,m,Hour Record,Record attempt,Velodrome du Lac
1994,Chris Boardman,rt,m,World Championships,Individual pursuit,Palermo
1995,Max Sciandri,ts,m,Tour de France,Stage 11,Saint Etienne
1995,Graeme Obree,rt,m,World Championships,Individual pursuit,Bogotá
1995,Max Sciandri,cr,m,Wincanton Classic,Road race,Leeds
1996,Chris Boardman,hr,m,Hour Record,Record attempt,Manchester
1996,Chris Boardman,rt,m,World Championships,Individual pursuit,Manchester
1997,Chris Boardman,ts,m,Tour de France,Prologue,Rouen
1998,Chris Boardman,ts,m,Tour de France,Prologue,Dublin
1998,Jeremy Hunt,cr,m,Trofeo Alcúdia,Road race,Mallorca
2000,David Millar,ts,m,Tour de France,Stage 1,Futuroscope
2000,Jason Queally,gm,m,Olympics,Kilo,Sydney
2000,Chris Boardman,hr,m,Hour Record,Record attempt,Manchester
2000,Max Sciandri,cr,m,Giro del Lazio,Road race,Lazio
2001,David Millar,vs,m,Vuelta a Espana,Stage 1,Salamanca
2002,David Millar,ts,m,Tour de France,Stage 13,Beziers
2002,Chris Hoy,rt,m,World Championships,Kilo,Copenhagen
2002,Chris Newton,rt,m,World Championships,Points race,Copenhagen
2002,"Craig MacLean, Chris Hoy, and Jamie Staff",rt,m,World Championships,Team sprint,Copenhagen
2002,Jeremy Hunt,cr,m,Bretagne Classic,Road race,Plouay
2003,David Millar,ts,m,Tour de France,Stage 19,Nantes
2003,David Millar,vs,m,Vuelta a Espana,Stage 17,Cordoba
2003,Bradley Wiggins,rt,m,World Championships,Individual pursuit,Stuttgart
2004,Bradley Wiggins,gm,m,Olympics,Individual pursuit,Athens
2004,Chris Hoy,gm,m,Olympics,1km time trial,Athens
2004,Jamie Staff,rt,m,World Championships,Keirin,Melbourne
2005,"Chris Hoy, Jason Queally, and Jamie Staff",rt,m,World Championships,Team sprint,Los Angeles
2005,"Paul Manning, Ed Clancy, Steve Cummings, and Rob Hayles",rt,m,World Championships,Team pursuit,Los Angeles
2005,Rob Hayles and Mark Cavendish,rt,m,World Championships,Madison,Los Angeles
2006,David Millar,vs,m,Vuelta a Espana,Stage 14,Cuenca
2006,Chris Hoy,rt,m,World Championships,Kilo,Bordeaux
2007,Bradley Wiggins,rt,m,World Championships,Individual pursuit,Palma de Mallorca
2007,"Bradley Wiggins, Ed Clancy, Geraint Thomas, and Paul Manning",rt,m,World Championships,Team pursuit,Palma de Mallorca
2007,Chris Hoy,rt,m,World Championships,Kilo,Palma de Mallorca
2007,Chris Hoy,rt,m,World Championships,Keirin,Palma de Mallorca
2007,Jeremy Hunt,cr,m,Grand Prix d'Ouverture La Marseillaise,Road race,Marseille
2008,Mark Cavendish,ts,m,Tour de France,Stage 5,Châteauroux
2008,Mark Cavendish,ts,m,Tour de France,Stage 8,Toulouse
2008,Mark Cavendish,ts,m,Tour de France,Stage 11,Narbonne
2008,Mark Cavendish,ts,m,Tour de France,Stage 12,Nimes
2008,Bradley Wiggins,gm,m,Olympics,Individual pursuit,Beijing
2008,"Bradley Wiggins, Ed Clancy, Geraint Thomas, and Paul Manning",gm,m,Olympics,Team pursuit,Beijing
2008,Chris Hoy,gm,m,Olympics,Sprint,Beijing
2008,Chris Hoy,gm,m,Olympics,Keirin,Beijing
2008,"Chris Hoy, Jason Kenny, and Jamie Staff",gm,m,Olympics,Team sprint,Beijing
2008,Bradley Wiggins,rt,m,World Championships,Individual pursuit,Manchester
2008,"Bradley Wiggins, Ed Clancy, Geraint Thomas, and Paul Manning",rt,m,World Championships,Team pursuit,Manchester
2008,Chris Hoy,rt,m,World Championships,Sprint,Manchester
2008,Chris Hoy,rt,m,World Championships,Keirin,Manchester
2008,Mark Cavendish and Bradley Wiggins,rt,m,World Championships,Madison,Manchester
2008,Steve Cummings,cr,m,Coppa Bernocchi,Road race,Legnano
2009,Mark Cavendish,gs,m,Giro d'Italia,Stage 9,Milan
2009,Mark Cavendish,gs,m,Giro d'Italia,Stage 11,Arenzano
2009,Mark Cavendish,gs,m,Giro d'Italia,Stage 13,Florence
2009,Mark Cavendish,ts,m,Tour de France,Stage 2,Brignoles
2009,Mark Cavendish,ts,m,Tour de France,Stage 3,La Grande Motte
2009,Mark Cavendish,ts,m,Tour de France,Stage 10,Issoudun
2009,Mark Cavendish,ts,m,Tour de France,Stage 11,Fargeau
2009,Mark Cavendish,ts,m,Tour de France,Stage 19,Aubenas
2009,Mark Cavendish,ts,m,Tour de France,Stage 21,Paris
2009,David Millar,vs,m,Vuelta a Espana,Stage 20,Toledo
2009,Mark Cavendish,cr,m,Milan–San Remo,Road race,San Remo
2010,Bradley Wiggins,gs,m,Giro d'Italia,Stage 1,Amsterdam
